title	keyword	ASTEXT(locations.geometry)
みんなの広場：命を大切に柔軟に生きて＝無職・矢守岩雄・７６	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：幸せな自分に全く気づかず＝大学生・磯山友希・２０	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：意見を言える人になりたい＝高校生・松田野々夏・１７	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：戦争のない世にするには＝農業・岩田康・６７	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：政治と自衛隊の援助に期待＝福祉団体役員・古野貞幸・７５	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：有権者に寄り添う公選法に＝栄養士・稲岡恭子・４７	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：秋山ちえ子さんの誠意に感動＝主婦・矢口秀子・７５	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：米大統領、被爆者の声聞いて＝会社員・矢吹正道・４８	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：自衛隊の存在認める改憲を＝無職・三上信康・６７	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：落とし物が返ってくる日本＝塾経営・柴沼高志・５８	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：裁判傍聴し社会の見方変化＝高校生・岩井大輝・１５	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：震度７の大地震を経験して＝高校生・稲岡会連・１８	みんなの広場	POINT(35.7180015 139.8040868)
